Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist,Pareja
LaLiga ,25,2/26/11,Away,FC Barcelona,RCD Mallorca,0:3,CF,38',0:1,Header,Seydou Keita,Antonela Rocuzzo
LaLiga ,26,3/2/11,Away,FC Barcelona,Valencia CF,0:1,CF,77',0:1,Left-footed shot,Adriano,Antonela Rocuzzo
Champions League ,last 16,3/8/11,Home,FC Barcelona,Arsenal FC,3:1,CF,49',1:0,Left-footed shot,Andrés Iniesta,Antonela Rocuzzo
Champions League ,last 16,3/8/11,Home,FC Barcelona,Arsenal FC,3:1,CF,72',3:1,Penalty,Not Applicable,Antonela Rocuzzo
LaLiga ,31,4/9/11,Home,FC Barcelona,UD Almería,3:1,CF,52',1:1,Penalty,Not Applicable,Antonela Rocuzzo
LaLiga ,31,4/9/11,Home,FC Barcelona,UD Almería,3:1,CF,90'+1,3:1,Left-footed shot,Seydou Keita,Antonela Rocuzzo
Champions League ,Quarter-Finals,4/12/11,Away,FC Barcelona,Shakhtar Donetsk,0:1,CF,42',0:1,Left-footed shot,Dani Alves,Antonela Rocuzzo
LaLiga ,32,4/16/11,Away,FC Barcelona,Real Madrid,1:1,CF,53',0:1,Penalty,Not Applicable,Antonela Rocuzzo
LaLiga ,33,4/23/11,Home,FC Barcelona,CA Osasuna,2:0,CF,87',2:0,Right-footed shot,Dani Alves,Antonela Rocuzzo
Champions League ,Semi-Finals,4/27/11,Away,FC Barcelona,Real Madrid,0:2,CF,76',0:1,Left-footed shot,Ibrahim Afellay,Antonela Rocuzzo
Champions League ,Semi-Finals,4/27/11,Away,FC Barcelona,Real Madrid,0:2,CF,87',0:2,Solo run,Sergio Busquets,Antonela Rocuzzo
